case_id,section,ground_truth,n_models_correct,n_models_total,frac_correct,frac_proprietary,frac_open_large,frac_on_device_base,frac_on_device_ft,GPT-5.1,GPT-5-mini,Gemini 3.1 Pro,DeepSeek-R1,gpt-oss-20b (H),gpt-oss-120b (H),Qwen3.5 9B,Qwen3.5 27B,Qwen3.5 35B,Qwen3.5 35B FT,Gemma 4 31B
19116.0,Others,Mixed malignant ovarian germ cell tumour,0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
19002.0,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
19067.0,Paediatric radiology,Cystic pulmonary tuberculosis,0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
19110.0,Others,Inflammatory myofibroblastic tumour,0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
19101.0,Neuroradiology,Neuro-Behçet’s disease,1,11,0.091,0.0,0.0,0.167,0.0,0,0,0,0,0,0,0,0,0,0,1
19024.0,Chest imaging,Usual interstitial pneumonia secondary to connective tissue disorder,1,11,0.091,0.333,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
19161.0,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,1,11,0.091,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0
19158.0,Paediatric radiology,"Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)",1,11,0.091,0.333,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
19044.0,Neuroradiology,Chorea-acanthocytosis,1,11,0.091,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
19138.0,Musculoskeletal system,Chondroblastic osteosarcoma,1,11,0.091,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0
18897.0,Musculoskeletal system,Central/low-grade osteosarcoma,2,11,0.182,0.0,0.0,0.167,1.0,0,0,0,0,0,0,0,0,0,1,1
19114.0,Neuroradiology,Rosette-forming glioneuronal tumour (RGNT),2,11,0.182,0.333,0.0,0.167,0.0,0,0,1,0,1,0,0,0,0,0,0
19058.0,Abdominal imaging,Intraductal papillary neoplasm of the bile duct with low-grade dysplasia,2,11,0.182,0.333,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,1,0
19141.0,Neuroradiology,Anaplastic meningioma (WHO Grade III),2,11,0.182,0.333,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0
18919.0,Abdominal imaging,Lymphoepithelial cysts of the pancreas,2,11,0.182,0.667,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0
19015.0,Chest imaging,Pulmonary amyloidosis,3,11,0.273,0.667,0.0,0.0,1.0,1,0,1,0,0,0,0,0,0,1,0
19140.0,Musculoskeletal system,Infection by Mycobacterium avium,3,11,0.273,0.0,0.0,0.5,0.0,0,0,0,0,0,0,1,1,0,0,1
19070.0,Musculoskeletal system,Clear cell soft tissue sarcoma with melanocytic differentiation,3,11,0.273,0.333,0.0,0.167,1.0,1,0,0,0,0,0,0,1,0,1,0
19038.0,Cardiovascular,Saw-tooth cardiomyopathy,4,11,0.364,0.667,0.0,0.333,0.0,1,0,1,0,0,1,0,0,0,0,1
19149.0,Paediatric radiology,MASA syndrome,4,11,0.364,0.333,0.0,0.333,1.0,0,0,1,0,0,0,0,0,1,1,1
18993.0,Abdominal imaging,Primary hepatic adenosarcoma,4,11,0.364,0.333,0.0,0.333,1.0,0,0,1,0,0,0,0,1,0,1,1
18826.0,Neuroradiology,Tumefactive demyelination with open ring sign,4,11,0.364,0.0,1.0,0.5,0.0,0,0,0,1,1,1,0,1,0,0,0
19022.0,Abdominal imaging,Vesico-appendiceal fistula,4,11,0.364,0.667,0.0,0.333,0.0,0,1,1,0,0,0,0,1,0,0,1
19119.0,Paediatric radiology,B-cell acute lymphoblastic lymphoma (small round blue cell tumour),5,11,0.455,0.667,1.0,0.167,1.0,1,0,1,1,0,1,0,0,0,1,0
18950.0,Paediatric radiology,Cochlear incomplete partition type III (IP-3),5,11,0.455,1.0,0.0,0.333,0.0,1,1,1,0,0,1,0,1,0,0,0
18935.0,Neuroradiology,Intracranial tuberculoma,5,11,0.455,0.0,0.0,0.667,1.0,0,0,0,0,1,1,0,0,1,1,1
18951.0,Cardiovascular,"Biventricular endomyocardial fibrosis [4,6]",5,11,0.455,1.0,0.0,0.333,0.0,1,1,1,0,0,0,1,0,0,0,1
18906.0,Neuroradiology,Calcified pseudoneoplasm of the neuraxis,6,11,0.545,0.667,0.0,0.5,1.0,1,0,1,0,0,1,0,0,1,1,1
18855.0,Cardiovascular,Malignant mitral valve prolapse with subendocardial late enhancement,6,11,0.545,0.667,1.0,0.333,1.0,1,1,0,1,1,1,0,0,0,1,0
19163.0,Neuroradiology,"Sturge–Weber syndrome, type 1",6,11,0.545,1.0,0.0,0.333,1.0,1,1,1,0,0,0,0,0,1,1,1
18961.0,Abdominal imaging,Low phospholipid-associated cholelithiasis (LPAC) syndrome,6,11,0.545,1.0,1.0,0.333,0.0,1,1,1,1,1,1,0,0,0,0,0
18890.0,Head & neck imaging,Choroidal detachment and posterior scleritis,6,11,0.545,1.0,0.0,0.5,0.0,1,1,1,0,1,1,0,0,0,0,1
18967.0,Musculoskeletal system,Solitary bone plasmacytoma,6,11,0.545,0.0,1.0,0.667,1.0,0,0,0,1,1,0,1,0,1,1,1
18948.0,Abdominal imaging,Myelolipoma,6,11,0.545,1.0,0.0,0.5,0.0,1,1,1,0,0,1,1,0,1,0,0
19021.0,Abdominal imaging,Solitary fibrous tumour,6,11,0.545,1.0,0.0,0.333,1.0,1,1,1,0,1,0,0,0,0,1,1
19086.0,Abdominal imaging,Oesophageal-vulvar syndrome,6,11,0.545,0.0,1.0,0.667,1.0,0,0,0,1,0,0,1,1,1,1,1
18925.0,Breast imaging,Myoid hamartoma of the breast (MHB),7,11,0.636,0.667,1.0,0.5,1.0,1,0,1,1,0,0,0,1,1,1,1
18836.0,Paediatric radiology,"OEIS (omphalocele, cloacal exstrophy, imperforate anus, and spinal dysraphism) complex",7,11,0.636,1.0,0.0,0.5,1.0,1,1,1,0,0,1,0,0,1,1,1
19080.0,Neuroradiology,Brachial plexus schwannomas,7,11,0.636,1.0,1.0,0.5,0.0,1,1,1,1,0,1,0,1,0,0,1
18927.0,Head & neck imaging,Skull base chondrosarcoma,7,11,0.636,1.0,0.0,0.5,1.0,1,1,1,0,0,0,0,1,1,1,1
18819.0,Uroradiology & genital male imaging,Pure yolk sac tumour,7,11,0.636,0.667,1.0,0.667,0.0,1,0,1,1,1,0,1,0,1,0,1
18878.0,Paediatric radiology,Metastatic pro-B type acute lymphoblastic leukaemia,7,11,0.636,0.667,0.0,0.667,1.0,1,0,1,0,0,0,1,1,1,1,1
18899.0,Paediatric radiology,Pyometrocolpos,8,11,0.727,1.0,1.0,0.5,1.0,1,1,1,1,0,1,0,0,1,1,1
19050.0,Breast imaging,Mammary tuberculosis,8,11,0.727,1.0,0.0,0.667,1.0,1,1,1,0,0,0,1,1,1,1,1
18851.0,Chest imaging,Pulmonary arteriovenous malformations,8,11,0.727,1.0,1.0,0.5,1.0,1,1,1,1,1,1,0,0,0,1,1
18949.0,Abdominal imaging,Metastatic melanoma in the gallbladder,9,11,0.818,1.0,1.0,0.667,1.0,1,1,1,1,1,1,0,1,1,1,0
18829.0,Abdominal imaging,Ischiorectal liposarcoma,9,11,0.818,1.0,0.0,0.833,1.0,1,1,1,0,1,1,0,1,1,1,1
19094.0,Paediatric radiology,Osteoblastoma,9,11,0.818,1.0,1.0,0.667,1.0,1,1,1,1,1,1,0,0,1,1,1
19098.0,Abdominal imaging,Plexiform neurofibroma,9,11,0.818,1.0,1.0,0.667,1.0,1,1,1,1,1,1,0,0,1,1,1
